customer_id,first_name,last_name,email,phone,address,city,state,zip_code,date_of_birth,account_balance,account_status,created_date,last_updated
CUST000001,Steven,Turner,lucascarpenter@example.com,789.761.0894x48780,"6630 Maria Plaza, Lake Ronald, ID 69943",South Kim,MN,28528,1988-07-22,42487.46,Inactive,2024-11-13,2025-11-25
CUST000002,Henry,Stevenson,jameshess@example.com,(997)455-4983x3901,"PSC 1139, Box 3135, APO AE 87720",Port Charlesbury,NY,57121,1981-09-23,49093.17,Active,2024-10-17,2025-12-14
CUST000003,Teresa,Fischer,smithmatthew@example.net,001-625-768-6171x918,"1482 Nguyen Forest Apt. 743, New Susan, NE 55931",East Jeffrey,MN,65491,1979-02-25,29366.6,Inactive,2024-10-21,2025-12-04
CUST000004,Kayla,Lee,yorkalyssa@example.net,(434)456-6600x9150,"5316 Castillo Court, Lopezport, KY 24961",Nathanmouth,ND,23728,1974-08-25,5137.68,Active,2024-10-17,2025-12-10
CUST000005,Joseph,West,franklinkrystal@example.com,+1-998-766-9514,"394 David Island, North Allison, AL 93110",Alvarezchester,KY,79239,2001-06-10,36787.19,Active,2024-04-08,2025-11-27
CUST000006,William,Heath,davidbooth@example.org,(476)234-7833x4398,"03504 Mendez Square, Lake Davidmouth, NE 12835",Reynoldsfurt,CT,45873,1991-08-09,14679.37,Active,2024-09-25,2025-12-14
CUST000007,Calvin,Webb,ojones@example.net,5422077914,"982 Vicki Corner, Dyerhaven, OR 83720",Port Michaelville,ME,12484,1991-05-25,42432.4,Inactive,2025-11-02,2025-12-20
CUST000008,Matthew,Smith,bradley20@example.com,444-927-3241,"6428 Roth Loop, West Trevor, VA 40005",Veronicaside,MA,94799,1946-04-05,2496.82,Active,2024-02-12,2025-11-28
CUST000009,Mary,Craig,zsilva@example.org,(586)757-4105x12197,"99653 Liu Cliff, South Juanberg, WV 84530",Davidmouth,PR,08507,1994-05-23,22610.37,Suspended,2025-08-10,2025-11-30
CUST000010,Jeffrey,Rodriguez,christinacohen@example.net,423.633.5010,"718 Bethany Port, Patrickton, MP 28524",Jamesside,FL,38364,1969-03-15,16181.78,Suspended,2024-07-18,2025-12-18
CUST000011,Samantha,Chapman,john20@example.com,283-369-9347,"7858 Amy Shoals, West Aaronshire, AK 87616",Robertland,ID,43145,1961-05-15,41871.01,Active,2024-10-25,2025-12-18
CUST000012,Wesley,Watson,linda86@example.org,+1-864-831-7236x43269,"PSC 6349, Box 2388, APO AE 03002",Greenfurt,MD,90904,1948-02-18,7732.45,Inactive,2025-09-03,2025-12-21
CUST000013,Lisa,Kaiser,jacquelineadams@example.com,712-290-9995x5147,"878 Thomas Forks Suite 695, North Jordan, LA 62456",West Tamara,GU,35192,1997-07-01,19068.01,Suspended,2024-03-11,2025-11-30
CUST000014,Olivia,Walsh,diana34@example.org,(511)858-7048x322,"097 Dawn Highway, Chelseahaven, AL 84460",Nashfort,MP,85507,1966-07-28,36494.04,Active,2024-05-22,2025-12-04
CUST000015,Alexander,Kerr,carrolljohn@example.com,+1-905-778-8641x758,"895 Tonya Ferry, South Vickiberg, AL 52516",Lake Carlosfort,UT,82223,1970-05-29,39060.55,Inactive,2024-07-29,2025-12-05
CUST000016,Jose,Gonzalez,shawnlarson@example.com,6279539091,"5697 William Locks Apt. 344, Port Evanview, IL 24460",Port Ianside,MI,70593,2000-11-11,30272.7,Suspended,2025-07-22,2025-12-03
CUST000017,Deanna,Bishop,sonyagarcia@example.org,3963805397,"5451 Richards Villages Suite 735, Taylorside, CT 23996",Paulashire,NJ,59727,1966-11-26,33739.0,Suspended,2025-01-11,2025-11-30
CUST000018,Laura,Cline,jamesolivia@example.net,764.892.9427x672,"5466 Jamie Cape, Port Jennifer, ID 48562",New David,NM,28050,1967-10-18,9332.35,Inactive,2025-07-22,2025-12-02
CUST000019,Cathy,Mays,qleonard@example.org,426.892.2892x787,"2727 Hawkins Corner Apt. 251, New Nicole, ND 38515",New Jaimebury,AL,37654,1955-05-07,38254.44,Active,2024-10-28,2025-11-30
CUST000020,Sharon,Brown,gsmall@example.org,001-230-797-1396,"2149 Kara Rue, Austinville, MI 32401",Lawrencebury,NY,35058,1980-01-16,44969.89,Inactive,2025-01-15,2025-11-27
CUST000021,Timothy,Jordan,matthewjohnson@example.org,(586)708-8434x3122,"5480 Lisa Well Suite 831, North Paulfort, NH 79884",East Jamie,NE,15052,1991-04-09,14355.71,Suspended,2024-10-18,2025-12-05
CUST000022,Amanda,Parker,cgonzalez@example.com,331.984.1055x641,"973 Aaron Key Apt. 746, North Davidville, NJ 89413",Dianeview,VI,24731,1997-10-05,1531.51,Suspended,2023-12-31,2025-12-20
CUST000023,Joel,Mitchell,walkerlacey@example.com,8653901458,"01482 Sandra Glens, New Sheilaview, GA 55091",Maryhaven,MP,71384,1984-11-07,22373.64,Suspended,2025-04-23,2025-11-29
CUST000024,Tiffany,Williams,whitejohn@example.org,394.837.4659,"PSC 5753, Box 7411, APO AE 69742",Lake Jeffborough,FM,80527,1964-12-22,27679.01,Suspended,2025-09-05,2025-12-16
CUST000025,Gabriel,White,darinbrock@example.org,001-783-278-3769,"36596 Martin Pines Apt. 199, South Margaretbury, LA 92974",Port Andreschester,DC,14517,1969-05-04,4852.76,Inactive,2025-06-26,2025-12-22
CUST000026,Eric,Simpson,campbellmichael@example.net,487.971.8766,"116 Evan Radial Suite 814, East Garyfurt, CA 32141",Lake Lauriechester,IL,17070,1990-05-10,12318.27,Active,2024-09-22,2025-12-21
CUST000027,Alexandra,Diaz,scarrillo@example.org,422-253-6822x2652,"726 Harmon Centers, Nancymouth, AS 03264",Port Joshua,VT,91263,1986-03-25,38932.26,Active,2024-09-25,2025-11-23
CUST000028,Logan,Hutchinson,ljohnson@example.org,+1-396-205-0925,"8501 Terry Port, New Michael, ID 72200",Stewartstad,SC,67969,1970-10-08,3870.82,Inactive,2025-08-22,2025-11-24
CUST000029,Amy,Cunningham,ksmith@example.com,892.328.2736x75446,"5870 Smith Corner Apt. 366, West Sara, PA 79039",Lake Evanhaven,WV,35570,1966-12-29,2509.98,Inactive,2025-02-05,2025-11-23
